stim_id,statement,actual_truth
1,The natural red dye in the shells of crustaceans is called xanthophyll.,FALSE
2,Sac fungi belong to the Protista family.,FALSE
3,The fourth man on the moon was Charles P. Conrad.,FALSE
4,The air pump is a French invention.,FALSE
5,A galactic year takes 2500 terrestrial years.,FALSE
6,Socrates was Alexander the Great's teacher.,FALSE
7,The capital of Madagascar is Toamasina.,FALSE
8,Valparaiso is one of Angola's biggest cities.,FALSE
9,Parema Lapis is a type of parasite.,FALSE
10,Theodore Fontane published his first novel at the age of 35.,FALSE
11,The Prophet Muhammad worked as a doctor before his religious calling.,FALSE
12,"According to EU regulations, the volume of an iPhone must not exceed 80 decibels.",FALSE
13,11.9% of the earth's surface is 1000 meters above sea level.,FALSE
14,Pope Pius IX was Pope Leo XIII's successor.,FALSE
15,The activity of a radioactive substance is measured in Sievert.,FALSE
16,The standard base unit of time is milliseconds.,FALSE
17,The casing on the first Apple computer was made of aluminium.,FALSE
18,'Cum hoc ergo propter hoc' is an example of syllogistic reasoning.,FALSE
19,Volcanoes can reach a maximum height of about 5000 metres.,FALSE
20,The Spanish ex-dictator Francisco Franco was nicknamed 'Conducator'.,FALSE
21,"According to the WHO, cancer is the leading cause of death.",FALSE
22,Androphobia is a fear of other people.,FALSE
23,The Morda is a river in Germany.,FALSE
24,The Barringer Crater is located in the moon's northern hemisphere.,FALSE
25,The island of Sel belongs to Denmark.,FALSE
26,The Sundra Trench is the deepest ocean trench on Earth.,FALSE
27,"In Greece, it is not Friday the 13th that is cursed, but Wednesday the 13th.",FALSE
28,Lipid is a term for hydrophilic solids.,FALSE
29,Former UN Secretary General Kofi Annan comes from Nigeria.,FALSE
30,The Italian flag was designed by Giuseppe Garibaldi.,FALSE
31,The speed at which sound travels is unaffected by temperature.,FALSE
32,One of the first German internet search engines was called 'Alcazar'.,FALSE
33,The all-wheel drive was invented in England in 1938.,FALSE
34,The first UN Secretary-General was Dag Hammarskjöld from Sweden.,FALSE
35,The Prussian King Augustus I the Strong was nicknamed the Soldier King.,FALSE
36,The German boxer Henry Maske became world champion in the cruiserweight class.,FALSE
37,'Au rendez-vous des amis' is a painting by August Macke.,FALSE
38,Richard Gere and Cindy Crawford got married in Mexico.,FALSE
39,Gisele Bündchen has a twin brother.,FALSE
40,The sun's photosphere can only be observed through a coronagraph.,FALSE
41,The Cocos Islands belong to Indonesia.,FALSE
42,Mehndi is the Indian word for Yoga Master.,FALSE
43,The Lama temple is located in Shanghai.,FALSE
44,The Sea of Galilee is the lowest-lying body of standing water on Earth.,FALSE
45,The Castle-Taubig Thesis makes predictions about the capacity of a calculating machine.,FALSE
46,Ephendios is the Greek god of agriculture.,FALSE
47,"The last EU country to abolish the death penalty was Spain, in 1996.",FALSE
48,"Ibo, like Esperanto, is a made-up world language.",FALSE
49,The first on-board computer for cars was developed in America.,FALSE
50,John Wayne's real name was Jonathan Walter Miller.,FALSE
51,The zero meridian runs through the London Borough of Kingston.,FALSE
52,Volleyball was invented in Florida.,FALSE
53,"The act of comparison with something impossible is called 'an aberration'.",FALSE
54,The world's tallest tree is a spruce.,FALSE
55,"A swan has about 50,000 feathers on its body.",FALSE
56,All clocks in the film 'Pulp Fiction' are set to 4:10.,FALSE
57,Lake Segozero in Russia is the largest lake in Europe.,FALSE
58,Ultrasound consists of waves and vibrations below 16 Hertz.,FALSE
59,Every odd number greater than two can be the sum of two prime numbers.,FALSE
60,The black alder belongs to the beech family.,FALSE
61,The Capybara is the largest of all marsupials.,FALSE
62,King Charles IV of France was nicknamed 'Charles the Evil'.,FALSE
63,Jean-Jacques Rousseau was a single father.,FALSE
64,A system crash on a Mac computer is indicated by a warning triangle.,FALSE
65,The peace treaty ending the Franco-German War was signed in Frankfurt.,TRUE
66,Canada has the world's longest coastline.,TRUE
67,"In men, excessive sex drive is not called nymphomania, but satyriasis.",TRUE
68,Alberto Fujimori served as president of Peru from 1990 − 2000.,TRUE
69,Tigers not only have striped fur but also striped skin.,TRUE
70,The Yukon is the third longest river in the United States.,TRUE
71,The mathematician Leonhard Euler's Latin squares were the earliest precursors to Sudoku.,TRUE
72,The band 'Oasis' named itself after a leisure centre.,TRUE
73,"In ancient Roman religion, the Penates were household deities.",TRUE
74,Lubaantun is a ruined Mayan city in Belize.,TRUE
75,Manama is the capital of Bahrain.,TRUE
76,Bolivia has the highest-altitude seat of government in the world.,TRUE
77,The only image that Van Gogh sold during his lifetime was 'The Red Vineyard.',TRUE
78,The Ising model is a mathematical model of ferromagnetism.,TRUE
79,The Slavonia was the first ship to use the SOS distress signal.,TRUE
80,Only about two percent of the world's population is naturally blonde.,TRUE
81,'In varietate concordia' is the official motto of the European Union.,TRUE
82,The world's biggest cemetery is in Bahrain.,TRUE
83,Albert Einstein married his cousin.,TRUE
84,Sesame seeds come in many different colours.,TRUE
85,"In discus, the throwing circle is 2.5m wide.",TRUE
86,The area between the eyebrows is called the Glabella.,TRUE
87,Inorganic pigments are also called 'mineral colours'.,TRUE
88,The national motto of India is 'Truth alone triumphs'.,TRUE
89,Early Scholasticism was a movement during the Middle Ages.,TRUE
90,Jürgen Klinsmann was nicknamed 'Flipper' at Bayern Munich.,TRUE
91,Ecuador has the highest-altitude city with more than a million inhabitants.,TRUE
92,John S. Pemberton invented Coca-Cola.,TRUE
93,James Connolly was the first modern Olympic gold medallist.,TRUE
94,"According to the book of Genesis, Methuselah was the grandfather of Noah.",TRUE
95,A chordophone is a musical instrument that makes sound with its strings.,TRUE
96,Members of the Nazi SS had their blood type tattooed near their armpit.,TRUE
97,Panarellos are steam wand adaptors on espresso machines.,TRUE
98,"Blackberries, raspberries, and strawberries belong to the Rose family.",TRUE
99,"Mongols put salt, not sugar, in their tea.",TRUE
100,The first windmills were built in Persia.,TRUE
101,Herbert Blumer was the leading symbolic interactionist of his time.,TRUE
102,Semiotics is the philosophical theory of signs.,TRUE
103,A housefly has a maximum lifespan of 70 days.,TRUE
104,The German rock band Tokio Hotel was previously called 'Devilish'.,TRUE
105,Mount Waialeale in Hawaii is one of the rainiest spots on earth.,TRUE
106,James Polk was president of the United States from 1845-1849.,TRUE
107,The Battle of Trafalgar (21 October 1805) was part of the War of the Third Coalition.,TRUE
108,"Jimi Hendrix was born November 27th, 1942 in Seattle, Washington.",TRUE
109,Three-coloured cats are almost always female.,TRUE
110,The Wandering Spider native to South America is one of the three most poisonous species in the world.,TRUE
111,Yasser Arafat fought in the Suez war for the Egyptian army.,TRUE
112,The Battle of Zama marked the end of the Second Punic war.,TRUE
113,The film 'Indecent Proposal' won the Golden Raspberry for worst film.,TRUE
114,The first time Italy won the football World Cup was in 1934.,TRUE
115,'The Rite of Spring' is a piece of music by Igor Stravinsky.,TRUE
116,Odin is a major god in most branches of Germanic mythology.,TRUE
117,Freddie Mercury's real name was Farrokh Bulsara.,TRUE
118,The Swedes were the first to introduce cartons instead of milk bottles.,TRUE
119,Pamela Anderson is a Canadian citizen.,TRUE
120,Tokyo is the world's most populous city.,TRUE
121,Nauru is the smallest sovereign republic on earth.,TRUE
122,The ad-Dahna Desert is in Saudi Arabia.,TRUE
123,A polo game is divided into periods of 7.5 minutes called 'chukkas'.,TRUE
124,The exosphere is the uppermost layer of the Earth's atmosphere.,TRUE
125,The name BenQ stands for 'Bringing Enjoyment and Quality to Life',TRUE
126,Female ferrets can die from oestrogen poisoning if they are in heat and do not get pregnant.,TRUE
127,The Congo has the largest water flow rate of any river in Africa.,TRUE
128,The official language in Uganda is English.,TRUE
